,tweet
0,"Flipkart- Buy Micromax Dual 4 (Grey, 64 GB) (4 GB RAM) at Rs 4999 https://t.co/kiHnjIbhsR"
1,@Flipkart the worst customer service ever. I was talking to a supervisor and call dropped in error. He did not even… https://t.co/MZ3xUSC0vv
2,Flipkart making fool to customers. Idont know how much time a money transfer takes to be credited in customer accou… https://t.co/6Rw4Wdoz5o
3,@DarshanSutariy6 @Flipkart @2GUD @flipkartsupport But why what is the cause for return
4,"RT @khaleejtimes: Tough 2020 awaits Amazon, Flipkart as Reliance firms up plans https://t.co/SDllcmQy0M https://t.co/yWpGZh6amO"
5,"I had ordered a nike shoe from flipkart, but the shoe has a size issue and when I am putting a return request, why… https://t.co/KztblbWVxP"
6,"RT @HiHonorIndia: A 32MP selfie camera, an awesome quad camera and a dedicated super night mode and is just #3ReasonsWhy anyone would flip…"
7,The new item is at local hub and telling that the pincode is not covered by them. So they will return the product.… https://t.co/EP25s23MCM
8,Signup &amp; Get FREE ₹300 Flipkart Gift Card from Upstox #Upstox #couponedge #flipkart #demat https://t.co/0xSsXdeXNq https://t.co/5f8SmSE5QA
9,"RT @Vickyja95075335: @Flipkart @flipkartsupport 
I have time for tomorrow i have to go to dubai for a 1 month
Flipkart is requesting you to…"
10,"@Flipkart @flipkartsupport 
I have time for tomorrow i have to go to dubai for a 1 month
Flipkart is requesting you… https://t.co/6QALdjyYJY"
11,@ujjwalkumar803 Sorry to hear that you're unable to access your Flipkart account. We see that an email with an upda… https://t.co/5OQcf3kWQY
12,@AMBRANEINDIA @Flipkart worst product. Issues like charging n discharging happened within 6mnths frm buying. Not ev… https://t.co/hp05pCUcKM
13,"RT @HinduSadhvi: हम लोग Flipkart , amazonIN या  ऑनलाइन शॉपिंग करते हैं क्या यह शॉपिंग साइट्स देश हित में कभी आवाज उठाती है ?

नहीं ना,
इसलि…"
14,RSS jaisi chaddi kaha milegi.. you guys have? @Flipkart @amazonIN @myntra @JabongIndia
15,"@spoonsoflavour Apple Store online 
Or
Amazon, Flipkart"
16,RT @mohitoz: In this bitter #DelhiWinter spare a thought for the delivery guys from @amazonIN @Flipkart @swiggy_in @Zomato and their collea…
17,RT @HiHonorIndia: Breathtaking selfies! Stunning Wide Angle shots! A Super Night Mode that lights up your every capture life! The #3Reasons…
18,"RT @RedmiIndia: 📢 Mi Fans, we've got some #Ultim8 news!

Back on popular demand. Get the #RedmiNote8 &amp; #RedmiNote8Pro from @amazonIN and #R…"
19,"@Flipkart 
kya hua Sir mera account activate kab tak hoga ?"
20,"@narendramodi Sir, will suggest if a Portal like #amazon or #flipkart can be made which only sells authenticated… https://t.co/6jdxJ9oLvz"
21,"My account was blocked 20 November. 
Reason is maximum order. 
But customer care ko call kro to value able customer… https://t.co/UVxRXyFlwE"
22,This is the rude behavior of flipkart agents https://t.co/98Q8MhFgxc
23,"@Livpurewater Before developing any technology, please work on customer satisfaction. I purchased livpure smart RO… https://t.co/pFUFQgaxSi"
24,Worst experience from #Flipkart   on my complaint of wishmaster rude behaviour and refund/return @flipkartsupport b… https://t.co/Cgkwqav9oF
25,RT @GauravJ55094067: 1st of all I would like to say that @Flipkart provides very pathetic kind of service..👎.. Robots are sitting on chat l…
26,@tejus_sawjiani Colocation is a common practice which allows a company to focus on tech that goes into a datacenter… https://t.co/mEwIVNvoTb
27,1st of all I would like to say that @Flipkart provides very pathetic kind of service..👎.. Robots are sitting on cha… https://t.co/2tCB8drE3m
28,@Flipkart can u guys plz tell me the reason of not delivering any product on pincode 180001 which is of jammu main… https://t.co/F2fchSPLFC
29,RT @govindatripathi: देश के व्यापारी और दुकानदार @amazonIN और @Flipkart की गलत नीतियों के खिलाफ भूख हड़ताल मे बैठ रहें है ये वो लोग है जो…
30,@flipkartsupport Resolve it fast and refund mu money. You fraud Flipkart.
31,@Flipkart @flipkartsupport I am a Flipkart plus member and yet the customer support service that I'm receiving is v… https://t.co/EYnmXhvhII
